Player,Overall Score,Height,Weight,Age,Preferred Foot,Preferred Positions,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Attack Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,Free Kick Acc,Penalties,Volleys
Lionel Messi,93,170,72,34,1,3,96.0,96.0,20.0,24.0,35.0,44.0,94.0,93.0,40.0,95.0,96.0,85.0,91.0,91.0,91.0,72.0,69.0,95.0,80.0,91.0,68.0,70.0,86.0,95.0,94.0,93.0,94.0,75.0,88.0
Robert Lewandowski,92,185,81,33,0,3,88.0,85.0,35.0,19.0,42.0,81.0,93.0,95.0,49.0,81.0,88.0,71.0,85.0,70.0,77.0,76.0,86.0,82.0,79.0,77.0,85.0,90.0,90.0,95.0,87.0,79.0,85.0,89.0,89.0
Kylian Mbappé,91,182,73,23,0,3,91.0,93.0,26.0,32.0,34.0,62.0,93.0,92.0,38.0,82.0,88.0,78.0,85.0,71.0,97.0,88.0,77.0,83.0,97.0,92.0,78.0,72.0,86.0,93.0,82.0,80.0,69.0,79.0,83.0
Kevin De Bruyne,91,181,70,30,0,2,90.0,88.0,68.0,53.0,65.0,75.0,91.0,88.0,66.0,94.0,89.0,94.0,93.0,93.0,76.0,88.0,74.0,78.0,76.0,79.0,63.0,55.0,91.0,81.0,91.0,85.0,83.0,83.0,82.0
Neymar Jr,91,175,68,29,0,2,95.0,95.0,35.0,29.0,32.0,63.0,89.0,86.0,37.0,90.0,93.0,85.0,86.0,81.0,93.0,81.0,53.0,84.0,89.0,96.0,64.0,63.0,80.0,83.0,81.0,88.0,87.0,93.0,86.0
Cristiano Ronaldo,91,187,83,36,0,3,88.0,88.0,24.0,24.0,32.0,63.0,94.0,95.0,29.0,76.0,95.0,87.0,80.0,77.0,84.0,77.0,77.0,74.0,88.0,86.0,95.0,90.0,94.0,95.0,93.0,81.0,79.0,88.0,86.0
Harry Kane,90,188,89,28,0,3,85.0,83.0,50.0,38.0,36.0,80.0,92.0,94.0,44.0,87.0,91.0,80.0,85.0,86.0,65.0,83.0,84.0,70.0,74.0,71.0,79.0,86.0,91.0,94.0,85.0,83.0,65.0,91.0,88.0
Joshua Kimmich,89,177,75,26,0,1,85.0,83.0,85.0,79.0,85.0,89.0,88.0,80.0,84.0,85.0,85.0,91.0,87.0,90.0,77.0,94.0,68.0,84.0,65.0,84.0,79.0,72.0,78.0,68.0,84.0,85.0,65.0,44.0,69.0
Sadio Mané,89,175,69,29,0,3,88.0,90.0,42.0,38.0,42.0,75.0,91.0,90.0,35.0,84.0,84.0,78.0,84.0,71.0,92.0,85.0,72.0,88.0,90.0,93.0,87.0,84.0,83.0,86.0,80.0,77.0,64.0,71.0,75.0
Virgil Litvinov,89,193,92,30,0,1,76.0,70.0,92.0,86.0,92.0,83.0,88.0,47.0,90.0,65.0,90.0,53.0,79.0,86.0,66.0,72.0,92.0,53.0,88.0,61.0,90.0,87.0,81.0,52.0,64.0,60.0,70.0,62.0,45.0
Casemiro,89,185,84,29,0,2,79.0,69.0,85.0,87.0,88.0,91.0,87.0,75.0,87.0,80.0,84.0,58.0,84.0,84.0,60.0,89.0,90.0,66.0,69.0,61.0,87.0,79.0,88.0,64.0,81.0,62.0,74.0,66.0,62.0
Rúben Dias,88,187,82,24,0,1,74.0,64.0,90.0,85.0,89.0,92.0,88.0,39.0,85.0,51.0,81.0,54.0,82.0,76.0,59.0,88.0,89.0,56.0,69.0,61.0,78.0,87.0,74.0,29.0,22.0,46.0,48.0,45.0,32.0
